# Undirected graph (each unordered pair of nodes is saved once): ../tempset.txt
# Save as tab-separated list of edges
# Nodes: 100 Edges: 400
# NodeId	NodeId
0	43
0	59
0	62
0	70
0	83
0	85
0	86
0	95
0	96
0	97
1	9
1	30
1	51
1	65
2	4
2	17
2	20
2	33
2	39
2	75
2	89
2	95
2	99
3	15
3	30
3	37
3	75
3	79
3	90
4	20
4	28
4	37
4	41
4	51
4	56
4	62
4	80
5	14
5	27
5	36
5	57
5	58
5	64
5	95
6	8
6	60
6	67
6	68
6	78
6	79
6	83
7	33
7	34
7	43
7	54
7	89
8	9
8	11
8	20
8	38
8	47
8	80
8	83
8	97
9	36
9	37
9	44
9	99
10	11
10	14
10	34
10	36
10	59
10	69
10	81
10	82
10	89
10	94
11	22
11	23
11	55
11	90
12	16
12	17
12	19
12	25
12	26
12	36
12	51
12	60
12	63
12	79
12	81
13	15
13	21
13	22
13	26
13	50
13	69
13	91
13	95
14	15
14	62
14	63
14	95
14	96
15	49
15	50
15	59
15	77
15	78
15	87
16	27
16	37
16	40
16	56
16	59
16	61
16	63
16	70
16	84
17	23
17	31
17	32
17	34
17	36
17	39
17	46
17	49
17	76
18	53
18	77
18	79
18	88
18	91
18	94
19	20
19	23
19	25
19	26
19	32
19	42
19	64
19	66
19	72
19	85
19	86
19	90
19	91
20	31
20	48
20	68
20	97
20	99
21	25
21	38
21	47
21	56
21	59
21	74
21	86
21	95
22	23
22	24
22	29
22	42
22	53
22	60
22	81
22	89
22	93
23	72
23	83
23	96
24	47
24	61
24	77
24	84
24	94
25	34
25	36
25	73
25	78
26	27
26	29
26	54
26	87
27	50
27	51
27	73
27	85
27	87
28	43
28	45
28	50
28	52
28	59
28	70
28	72
28	78
28	83
28	89
28	93
29	38
29	53
29	57
29	60
29	76
29	88
29	99
30	31
30	51
30	53
30	85
30	86
30	94
31	35
31	36
31	38
31	50
31	57
31	91
31	96
32	34
32	57
32	59
32	62
32	64
32	72
32	83
33	40
33	42
33	57
33	62
33	84
33	86
33	92
34	49
34	66
34	67
34	74
35	55
35	59
35	63
35	79
35	93
36	43
36	46
36	54
36	55
36	59
36	74
36	79
36	91
37	63
37	66
37	87
38	50
38	62
39	54
39	58
39	67
39	84
39	95
40	49
40	53
40	81
41	52
41	71
41	77
41	81
42	44
42	45
42	69
43	45
43	46
43	67
43	70
43	72
43	86
43	88
43	92
43	97
44	48
44	50
44	51
44	71
44	75
45	62
45	65
45	70
45	94
45	99
46	47
46	51
46	61
46	89
47	69
48	54
48	72
48	78
48	80
48	92
49	51
49	61
49	86
49	90
49	95
51	58
51	61
51	64
51	65
51	72
51	92
52	54
52	86
53	66
53	78
53	91
53	95
53	96
53	99
54	58
54	92
55	59
55	82
55	84
55	99
56	78
56	80
56	99
57	60
57	79
58	61
58	62
58	70
58	86
59	73
59	78
59	99
60	92
60	94
61	62
61	76
61	78
61	82
62	70
62	73
62	74
62	76
62	85
63	74
63	81
63	91
63	92
64	73
64	82
64	92
64	93
65	67
65	81
66	67
66	68
66	98
67	85
68	75
68	79
69	70
69	95
70	78
70	98
71	75
71	88
71	91
72	83
74	83
75	79
75	83
75	98
77	79
77	92
77	97
79	98
80	81
80	99
81	83
81	95
82	97
83	85
83	86
83	98
84	88
84	92
85	91
85	96
86	89
87	97
87	98
88	96
92	98
