# Undirected graph (each unordered pair of nodes is saved once): tempset.txt
# Save as tab-separated list of edges
# Nodes: 10000 Edges: 80000
# NodeId	NodeId
0	1007
0	1589
0	2963
0	3659
0	4155
0	4463
0	4928
0	5017
0	5153
0	5483
0	6112
0	6345
0	6459
0	6662
0	6737
0	7305
0	7537
0	7682
0	8441
0	8713
0	9346
0	9508
1	98
1	307
1	627
1	1361
1	1378
1	1767
1	3571
1	4708
1	5658
1	5689
1	6424
1	6482
1	6641
1	7156
1	7264
1	8027
1	8715
1	9839
2	1454
2	1764
2	2723
2	3391
2	3541
2	3981
2	4523
2	4957
2	4972
2	5557
2	7524
2	7580
2	7744
2	8021
2	8270
2	8653
2	8877
2	9381
2	9450
2	9636
2	9645
3	166
3	1789
3	2116
3	2801
3	3218
3	3455
3	3843
3	4567
3	5036
3	5048
3	5767
3	5969
3	6154
3	6596
3	7311
3	7911
3	8293
3	8489
4	87
4	722
4	863
4	1184
4	3621
4	3936
4	5163
4	5927
4	6070
4	6274
4	7072
4	7338
4	8038
4	8662
4	9183
5	1151
5	1293
5	1941
5	2331
5	3739
5	3946
5	4141
5	5703
5	6049
5	6471
5	6939
5	7356
5	8205
5	8240
5	8297
6	633
6	949
6	1079
6	2053
6	2290
6	2590
6	4010
6	5195
6	5825
6	6661
6	8491
6	8559
6	9801
6	9952
7	316
7	575
7	818
7	946
7	1235
7	2250
7	2443
7	2548
7	2672
7	3222
7	4050
7	4943
7	5389
7	5466
7	5481
7	5630
7	6520
7	7531
7	7985
7	8118
7	9604
7	9753
8	23
8	325
8	1043
8	1286
8	1786
8	2578
8	2734
8	3640
8	3723
8	4862
8	5370
8	7131
8	8129
8	8289
8	9437
8	9701
9	408
9	667
9	3853
9	4152
9	6066
9	7040
9	7968
9	8790
9	8878
9	9901
10	729
10	1892
10	2054
10	2360
10	2994
10	4044
10	4306
10	4716
10	5378
10	5480
10	5890
10	6769
10	6982
10	7622
10	8358
10	8531
10	8791
11	369
11	1191
11	1258
11	1310
11	2229
11	2233
11	2842
11	3188
11	3737
11	4711
11	5199
11	5731
11	6875
11	7068
11	7081
11	7546
12	265
12	838
12	849
12	1216
12	1852
12	1933
12	1999
12	2359
12	2389
12	2626
12	2877
12	3126
12	3868
12	6114
12	6256
12	6295
12	6393
12	6556
12	6870
12	8133
12	8397
12	8666
12	8890
12	9519
13	16
13	115
13	497
13	823
13	2377
13	2860
13	3754
13	4002
13	4051
13	4774
13	5502
13	7150
13	7185
13	7998
13	8054
13	9991
14	1119
14	2692
14	4614
14	4790
14	4993
14	5653
14	5977
14	6503
14	6863
14	8420
14	8633
14	8847
14	8964
14	9082
15	22
15	42
15	933
15	1010
15	1309
15	1954
15	2103
15	2254
15	2376
15	2505
15	2928
15	3348
15	3492
15	4272
15	4434
15	4694
15	5274
15	6832
15	7891
15	8597
15	9544
16	1437
16	1549
16	1572
16	1748
16	1950
16	2139
16	2487
16	3037
16	3087
16	4787
16	4835
16	5607
16	7032
16	7312
